date,region,sst
1994-06-15,Gulf of St. Lawrence,8.426
1994-08-15,Bay of Fundy,14.404
1994-08-15,Scotian Shelf,18.486
1994-08-15,Gulf of St. Lawrence,14.603
1994-09-15,Bay of Fundy,13.12
1994-09-15,Scotian Shelf,15.352
1994-09-15,Gulf of St. Lawrence,12.459
1994-10-15,Bay of Fundy,11.318
1994-10-15,Scotian Shelf,11.959
1994-10-15,Gulf of St. Lawrence,8.575
1994-11-15,Bay of Fundy,9.147
1994-11-15,Scotian Shelf,8.176
1994-11-15,Gulf of St. Lawrence,4.77
1994-12-15,Bay of Fundy,6.251
1994-12-15,Scotian Shelf,5.23
1994-12-15,Gulf of St. Lawrence,1.471
1995-01-15,Bay of Fundy,1.96
1995-01-15,Scotian Shelf,2.961
1995-01-15,Gulf of St. Lawrence,-0.149
1995-02-15,Bay of Fundy,1.966
1995-02-15,Scotian Shelf,2.15
1995-02-15,Gulf of St. Lawrence,-0.455
1995-03-15,Bay of Fundy,1.259
1995-03-15,Scotian Shelf,1.868
1995-03-15,Gulf of St. Lawrence,-0.526
1995-04-15,Bay of Fundy,1.753
1995-04-15,Scotian Shelf,2.498
1995-04-15,Gulf of St. Lawrence,0.228
1995-05-15,Bay of Fundy,3.154
1995-05-15,Scotian Shelf,3.874
1995-05-15,Gulf of St. Lawrence,3.205
1995-06-15,Bay of Fundy,8.4
1995-06-15,Scotian Shelf,9.076
1995-06-15,Gulf of St. Lawrence,8.964
1995-08-15,Bay of Fundy,14.609
1995-08-15,Scotian Shelf,17.99
1995-08-15,Gulf of St. Lawrence,16.783
1995-09-15,Bay of Fundy,12.681
1995-09-15,Scotian Shelf,14.719
1995-09-15,Gulf of St. Lawrence,12.488
1995-10-15,Bay of Fundy,11.858
1995-10-15,Scotian Shelf,13.08
1995-10-15,Gulf of St. Lawrence,9.321
1995-11-15,Bay of Fundy,9.051
1995-11-15,Scotian Shelf,9.616
1995-11-15,Gulf of St. Lawrence,4.604
1995-12-15,Bay of Fundy,4.101
1995-12-15,Scotian Shelf,5.408
1995-12-15,Gulf of St. Lawrence,1.519
1996-01-15,Bay of Fundy,3.127
1996-01-15,Scotian Shelf,3.175
1996-01-15,Gulf of St. Lawrence,-0.269
1996-02-15,Bay of Fundy,1.364
1996-02-15,Scotian Shelf,1.912
1996-02-15,Gulf of St. Lawrence,-0.47
1996-03-15,Bay of Fundy,1.348
1996-03-15,Scotian Shelf,1.592
1996-03-15,Gulf of St. Lawrence,-0.183
1996-04-15,Bay of Fundy,2.166
1996-04-15,Scotian Shelf,2.393
1996-04-15,Gulf of St. Lawrence,0.063
1996-05-15,Bay of Fundy,4.133
1996-05-15,Scotian Shelf,4.607
1996-05-15,Gulf of St. Lawrence,2.982
1996-06-15,Bay of Fundy,8.687
1996-06-15,Scotian Shelf,10.134
1996-06-15,Gulf of St. Lawrence,10.382
1996-08-15,Bay of Fundy,14.498
1996-08-15,Scotian Shelf,17.598
1996-08-15,Gulf of St. Lawrence,16.708
1996-09-15,Bay of Fundy,12.949
1996-09-15,Scotian Shelf,15.172
1996-09-15,Gulf of St. Lawrence,14.083
1996-10-15,Bay of Fundy,10.872
